stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14704,2010,05,29,60.1,23,54.4,23,9999.9,0,1009.7,23,10.0,23,10.1,23,20.0,28.0,71.6,*,51.8,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,06,09,58.1,22,47.0,22,9999.9,0,1014.7,22,9.2,22,4.9,22,12.0,18.1,68.0,*,48.2,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,05,26,76.9,15,63.0,15,9999.9,0,1004.2,15,10.0,15,7.5,15,13.0,15.9,89.6,*,57.9,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,07,01,64.0,24,49.5,24,9999.9,0,1013.1,22,10.0,24,8.6,24,15.0,22.9,73.4,*,51.8,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,07,07,78.3,24,71.1,24,9999.9,0,1011.4,24,8.1,24,4.2,24,12.0,999.9,89.6,*,71.6,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,07,29,75.7,24,71.7,24,9999.9,0,1006.2,24,8.6,24,14.7,24,21.0,29.9,80.6,*,73.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,07,18,77.9,24,69.9,24,9999.9,0,1004.8,24,8.4,24,10.8,24,15.9,21.0,86.0,*,69.8,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,05,27,61.6,24,55.6,24,9999.9,0,1005.0,24,9.8,24,8.4,24,13.0,17.1,73.4,*,55.4,*,99.99,,999.9,0,1,0,0,1,0
725060,14704,2010,06,17,66.4,24,61.7,24,9999.9,0,1004.4,24,6.5,24,10.1,24,15.0,21.0,73.4,*,59.0,*,99.99,,999.9,1,1,0,0,0,0
725060,14704,2010,01,02,31.3,24,30.0,24,9999.9,0,994.9,24,3.8,24,7.6,24,15.9,24.1,35.6,*,26.6,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,06,16,62.7,24,55.2,24,9999.9,0,1015.9,24,9.9,24,7.1,24,15.9,22.0,73.4,*,53.6,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,02,17,31.5,24,25.7,24,9999.9,0,990.1,24,8.2,24,11.9,24,15.9,24.1,35.6,*,26.6,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,04,07,59.1,24,47.8,24,9999.9,0,1001.2,24,7.4,24,9.8,24,21.0,27.0,80.6,*,46.0,*,99.99,,999.9,1,1,0,0,0,0
725060,14704,2010,02,26,37.4,24,34.8,24,9999.9,0,983.5,24,7.5,24,15.5,24,26.0,39.0,50.0,*,32.0,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,04,25,49.9,24,40.6,24,9999.9,0,1003.6,24,9.3,24,9.7,24,19.0,22.9,53.6,*,46.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,01,28,30.7,24,24.6,24,9999.9,0,1011.9,24,9.8,24,5.1,24,17.1,24.1,37.4,*,23.0,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,03,05,32.7,24,28.3,24,9999.9,0,1005.0,24,4.8,24,13.3,24,25.1,31.1,35.6,*,32.0,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,05,16,58.6,24,44.6,24,9999.9,0,1012.8,24,10.0,24,5.5,24,14.0,17.1,68.0,*,48.2,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,05,15,60.6,24,48.5,24,9999.9,0,1007.9,24,8.4,24,10.2,24,20.0,26.0,71.6,*,53.6,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,04,18,41.4,24,37.6,24,9999.9,0,1004.4,24,9.7,24,4.3,24,14.0,17.1,50.0,*,37.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,05,04,63.9,24,49.8,24,9999.9,0,1001.9,24,10.0,24,8.6,24,19.0,26.0,77.0,*,51.8,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,03,26,42.4,24,36.0,24,9999.9,0,1002.7,24,7.3,24,15.2,24,24.1,35.0,53.6,*,32.0,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2010,01,20,34.8,24,32.7,24,9999.9,0,1005.4,24,6.7,24,4.9,24,11.1,17.1,39.2,*,32.0,*,99.99,,999.9,1,1,1,0,0,0
725060,14704,2010,04,17,40.0,24,38.2,24,9999.9,0,1002.5,24,5.1,24,7.9,24,14.0,19.0,41.0,*,39.2,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,07,23,70.5,24,62.1,24,9999.9,0,1011.0,24,9.4,24,6.1,24,13.0,18.1,77.0,*,62.6,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,03,15,43.0,24,41.8,24,9999.9,0,996.0,24,3.2,24,16.8,24,22.9,33.0,46.4,*,39.2,*,99.99,,999.9,1,1,0,0,0,0
725060,14704,2010,01,05,24.1,24,17.2,24,9999.9,0,997.2,24,10.0,24,5.6,24,8.9,999.9,28.4,*,17.6,*,99.99,,999.9,0,0,1,0,0,0
725060,14704,2010,06,15,63.8,24,55.3,24,9999.9,0,1010.1,24,9.5,24,7.0,24,15.0,19.0,71.6,*,55.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2010,05,31,65.6,24,48.1,24,9999.9,0,1010.5,24,8.0,24,6.8,24,14.0,15.0,73.4,*,59.0,*,99.99,,999.9,0,1,0,0,0,0
