stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,94728,2011,08,14,70.2,24,68.1,24,1013.9,9,1007.9,24,3.5,24,4.0,24,8.9,15.0,77.0,*,66.2,*,3.2,G,999.9,1,1,0,0,0,0
725060,94728,2011,10,14,66.1,24,65.2,24,998.7,11,996.0,24,3.8,24,4.4,24,8.9,15.9,69.8,*,61.0,*,0.34,G,999.9,1,1,0,0,0,0
725060,94728,2011,10,27,53.4,24,49.4,24,1006.4,11,1000.3,24,5.9,24,4.9,24,11.1,18.1,61.0,*,39.9,*,0.14,G,999.9,0,1,0,0,0,0
725060,94728,2011,05,16,58.8,22,57.9,22,1004.8,12,999.7,22,2.8,22,6.2,22,15.0,22.0,62.6,*,54.0,*,0.39,G,999.9,0,1,0,0,0,0
725060,94728,2011,03,23,36.5,24,31.4,24,1011.6,12,1006.5,24,4.9,24,5.5,24,13.0,17.1,45.0,*,32.0,*,0.44,G,999.9,0,1,1,0,0,0
725060,94728,2011,05,19,64.1,24,61.1,24,1015.4,12,1010.4,24,4.3,24,3.9,24,8.9,999.9,73.9,*,59.0,*,1.57,G,999.9,1,1,0,0,0,0
725060,94728,2011,02,25,44.6,24,39.8,24,1004.0,13,998.6,24,5.4,24,3.8,22,17.1,28.0,57.2,*,39.0,*,0.62,G,999.9,1,1,0,0,0,0
725060,94728,2011,04,28,64.3,24,61.2,24,1006.4,13,1002.2,24,8.3,24,6.3,24,11.1,22.0,71.1,*,60.8,*,0.0,G,999.9,0,1,0,0,0,0
725060,94728,2011,05,04,56.0,24,51.1,24,1014.1,15,1009.3,24,8.0,24,4.6,24,12.0,20.0,64.0,*,46.4,*,0.0,G,999.9,0,1,0,0,0,0
725060,94728,2011,05,17,54.9,24,53.9,24,1012.5,16,1007.2,24,5.1,24,10.7,24,15.0,25.1,59.0,*,51.8,*,0.6,G,999.9,0,1,0,0,0,0
725060,94728,2011,07,03,72.4,24,66.5,24,1013.2,16,1008.0,24,6.2,24,3.7,24,8.9,999.9,75.0,*,69.1,*,0.0,G,999.9,1,1,0,0,0,0
