stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14704,2009,11,24,48.4,24,47.8,24,9999.9,0,1017.6,24,3.0,24,14.1,24,18.1,29.9,50.0,*,46.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,12,21,24.1,24,10.6,24,9999.9,0,999.0,24,8.6,24,12.5,24,18.1,29.9,32.0,*,19.4,*,99.99,,999.9,0,0,1,0,0,0
725060,14704,2009,11,14,57.4,24,54.8,24,9999.9,0,1011.0,24,5.6,24,15.7,24,19.0,34.0,62.6,*,51.8,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,10,02,51.4,24,42.6,24,9999.9,0,1012.4,24,10.0,24,5.6,24,11.1,15.0,59.0,*,41.0,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,11,25,48.9,24,47.7,24,9999.9,0,1012.9,24,1.9,24,10.3,24,17.1,25.1,50.0,*,48.2,*,99.99,,999.9,1,1,0,0,0,0
725060,14704,2009,10,19,42.7,24,38.8,24,9999.9,0,1011.7,24,7.4,24,10.0,24,19.0,33.0,48.9,*,35.6,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,11,20,56.9,24,53.7,24,9999.9,0,1012.8,24,8.5,24,12.1,24,22.9,28.9,60.8,*,48.2,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,12,20,27.9,24,24.2,24,9999.9,0,993.0,24,2.9,24,19.0,24,34.0,45.1,35.6,*,21.2,*,99.99,,999.9,1,1,1,0,0,0
725060,14704,2009,10,09,52.5,24,48.4,24,9999.9,0,1010.5,24,10.0,24,4.0,24,12.0,18.1,62.6,*,41.0,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,12,31,27.1,24,20.8,24,9999.9,0,1019.1,21,7.7,24,1.6,24,8.0,999.9,37.9,*,17.6,*,99.99,,999.9,0,1,1,0,0,0
725060,14704,2009,11,13,49.9,24,46.1,24,9999.9,0,1015.6,24,8.9,24,17.8,24,24.1,34.0,51.8,*,46.4,*,99.99,,999.9,0,1,0,0,0,0
725060,14704,2009,10,21,52.9,24,44.3,24,9999.9,0,1015.7,24,10.0,24,5.3,24,8.9,999.9,64.4,*,42.8,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,11,17,42.9,24,30.6,24,9999.9,0,1017.6,24,10.0,24,6.2,24,12.0,17.1,48.2,*,35.6,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,12,04,46.9,24,37.6,24,9999.9,0,1008.8,24,10.0,24,6.4,24,12.0,999.9,54.0,*,33.8,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,12,18,16.0,24,-3.6,24,9999.9,0,1016.6,24,10.0,24,8.2,24,18.1,25.1,28.4,*,6.8,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,11,22,44.7,24,39.0,24,9999.9,0,1018.7,24,9.4,24,8.2,24,17.1,22.9,51.8,*,37.4,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,12,17,23.8,24,4.3,24,9999.9,0,1013.9,24,10.0,24,12.6,24,20.0,28.9,28.4,*,17.6,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,11,08,51.3,24,44.6,24,9999.9,0,1017.6,24,10.0,24,9.3,24,17.1,22.9,60.8,*,42.8,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,11,10,57.3,24,49.6,24,9999.9,0,1019.1,24,9.5,24,9.0,24,14.0,22.0,64.4,*,51.8,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,12,16,35.2,24,18.9,24,9999.9,0,1011.3,24,10.0,24,10.8,24,19.0,33.0,44.6,*,28.4,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,10,31,55.3,24,50.8,24,9999.9,0,1011.8,24,10.0,24,10.2,24,22.9,33.0,69.8,*,37.4,*,0.0,I,999.9,0,0,0,0,0,0
725060,14704,2009,05,29,57.2,24,56.5,24,1008.1,14,1003.8,20,3.0,24,4.5,24,8.9,999.9,66.2,*,51.1,*,0.16,A,999.9,1,1,0,0,0,0
725060,14704,2009,03,11,43.8,23,40.7,23,1023.3,15,1016.4,19,8.6,23,11.0,23,25.1,32.1,53.6,*,37.4,*,0.0,G,999.9,1,1,0,0,0,0
725060,14704,2009,01,28,29.8,24,26.7,24,1024.9,16,1016.7,18,7.3,24,7.3,24,25.1,34.0,57.2,*,15.8,*,0.21,B,1.2,1,1,1,0,0,0
725060,14704,2009,05,24,60.8,24,57.2,24,1016.8,17,1012.1,23,5.7,24,7.3,24,14.0,999.9,73.4,*,51.1,*,0.0,H,999.9,1,1,0,0,0,0
725060,14704,2009,05,15,60.8,24,56.5,24,1024.9,17,1020.0,21,6.7,24,11.1,24,15.9,22.9,69.8,*,53.1,*,0.21,G,999.9,1,1,0,0,0,0
725060,14704,2009,06,28,65.9,24,63.3,24,1003.5,17,998.9,24,5.0,24,6.5,24,11.1,999.9,73.4,*,61.0,*,0.0,G,999.9,1,1,0,0,0,0
725060,14704,2009,05,06,50.4,24,46.9,24,1018.3,17,1013.2,24,7.1,24,5.5,24,9.9,999.9,60.8,*,46.4,*,1.19,G,999.9,0,1,0,0,0,0
725060,14704,2009,06,10,59.7,24,56.7,24,1014.5,17,1009.6,24,6.5,24,5.8,24,8.9,999.9,64.4,*,54.0,*,0.27,G,999.9,1,1,0,0,0,0
725060,14704,2009,02,19,41.3,23,39.4,23,996.2,17,991.6,20,3.5,23,8.6,23,21.0,26.0,50.0,*,32.0,*,0.35,G,999.9,1,1,1,0,0,0
725060,14704,2009,09,11,61.0,24,56.3,24,1026.9,18,1021.1,21,11.9,24,8.5,24,15.0,19.0,69.8,*,55.4,*,0.86,B,999.9,0,1,0,0,0,0
725060,14704,2009,05,01,52.1,24,48.0,24,1017.5,18,1011.7,22,6.2,24,13.0,24,21.0,27.0,55.4,*,46.4,*,0.01,B,999.9,1,1,0,0,0,0
725060,14704,2009,04,11,44.9,24,43.2,24,1010.5,18,1006.0,22,3.8,24,11.8,24,22.0,28.9,51.8,*,39.2,*,0.15,G,999.9,1,1,0,0,1,0
725060,14704,2009,09,13,65.1,24,62.7,24,1010.0,18,1005.2,23,5.7,24,6.0,24,9.9,999.9,75.2,*,60.8,*,3.23,G,999.9,1,1,0,0,1,0
725060,14704,2009,07,18,74.7,24,71.2,24,1007.8,18,1002.6,24,4.4,24,8.4,24,14.0,18.1,80.6,*,70.0,*,0.78,G,999.9,1,1,0,0,1,0
725060,14704,2009,08,04,73.7,23,67.9,23,1014.9,19,1010.4,22,5.3,23,5.9,23,12.0,15.0,80.6,*,68.0,*,0.0,G,999.9,1,1,0,0,0,0
725060,14704,2009,01,08,37.9,24,30.7,24,989.8,19,984.3,21,9.7,24,16.4,24,27.0,35.0,48.2,*,32.0,*,0.65,G,999.9,1,1,1,0,0,0
725060,14704,2009,06,23,60.1,24,59.1,24,1003.2,19,998.3,23,2.1,24,17.4,24,26.0,29.9,62.6,*,57.0,*,0.6,G,999.9,0,1,0,0,0,0
725060,14704,2009,05,16,60.6,23,55.2,23,1021.2,19,1016.1,23,9.2,23,5.5,23,11.1,999.9,71.6,*,50.0,*,0.1,G,999.9,1,0,0,0,0,0
725060,14704,2009,04,23,51.0,24,42.9,24,1006.1,19,1000.8,23,9.2,24,13.0,24,21.0,29.9,59.0,*,44.1,*,0.4,G,999.9,0,1,0,0,0,0
725060,14704,2009,01,18,27.3,24,25.4,24,1019.4,20,1015.0,22,6.0,24,5.6,24,16.9,20.0,39.0,*,12.2,*,0.34,D,2.0,0,1,1,0,0,0
725060,14704,2009,04,04,51.1,23,43.2,23,992.1,20,987.1,22,10.0,23,14.1,23,21.0,27.0,59.0,*,44.1,*,0.66,G,999.9,1,1,0,0,0,0
725060,14704,2009,05,27,52.0,24,46.3,24,1020.6,20,1015.2,24,9.1,24,5.3,24,12.0,999.9,55.4,*,48.2,*,0.08,G,999.9,1,1,0,0,0,0
725060,14704,2009,06,15,59.1,24,54.2,24,1017.6,20,1012.9,24,12.2,24,5.8,24,9.9,999.9,66.2,*,53.6,*,0.01,G,999.9,0,0,0,0,0,0
725060,14704,2009,08,24,75.4,24,70.8,24,1014.2,20,1009.7,24,7.5,24,4.5,24,7.0,999.9,80.6,*,71.6,*,0.0,G,999.9,0,0,0,0,0,0
725060,14704,2009,01,21,23.4,24,15.4,24,1006.8,21,1001.8,21,9.9,24,8.4,24,15.0,18.1,32.0,*,17.6,*,0.02,C,2.0,0,0,1,0,0,0
725060,14704,2009,07,29,74.5,24,71.3,24,1012.9,21,1008.2,24,4.7,24,8.9,24,12.0,999.9,80.6,*,66.9,*,99.99,,999.9,1,1,0,0,0,0
725060,14704,2009,06,26,68.8,24,65.0,24,1006.0,21,1001.3,23,8.6,24,7.5,24,13.0,999.9,80.6,*,59.0,*,0.03,A,999.9,0,1,0,0,1,0
