stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14756,2016,04,01,54.8,24,52.5,24,1007.0,18,1008.6,12,2.2,24,18.2,24,29.9,39.0,59.0,,46.0,,0.01,G,999.9,1,1,0,0,0,0
725060,14756,2016,01,01,41.2,24,28.0,24,1015.1,15,1012.9,14,9.8,24,10.2,24,17.1,24.1,44.1,*,37.4,*,0.43,G,999.9,0,1,0,0,0,0
725060,14756,2016,04,22,55.4,21,48.4,21,1013.8,20,1012.1,21,8.7,21,10.2,21,15.9,999.9,72.0,,44.1,,0.0,G,999.9,1,1,0,0,0,0
725060,14756,2016,05,06,48.5,21,43.5,21,1006.6,12,1005.9,21,9.4,21,16.5,21,27.0,36.9,53.1,,44.1,,0.93,G,999.9,0,1,0,0,0,0
725060,14756,2016,03,27,40.0,24,32.8,24,1028.8,16,1027.3,24,9.8,24,5.4,24,9.9,999.9,46.9,,37.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,05,25,57.9,24,53.4,24,1015.7,18,1014.0,24,7.7,24,8.7,24,14.0,999.9,64.0,,51.1,,0.01,G,999.9,0,1,0,0,0,0
725060,14756,2016,08,22,73.8,24,66.7,24,1011.0,18,1009.1,24,6.7,24,10.4,24,15.0,19.0,81.0,,63.0,,0.47,G,999.9,1,1,0,0,0,0
725060,14756,2016,07,01,66.9,24,63.6,24,1017.1,20,1015.6,24,7.8,24,8.7,24,17.1,999.9,77.0,,61.0,,0.0,G,999.9,1,1,0,0,0,0
725060,14756,2016,07,08,65.7,24,64.2,24,1009.2,12,1007.5,24,3.2,24,10.0,24,21.0,27.0,70.0,*,60.8,*,0.32,G,999.9,1,1,0,0,0,0
725060,14756,2016,05,31,62.8,24,60.6,24,1014.4,12,1012.9,24,4.9,24,10.1,24,19.0,24.1,70.0,,60.1,,0.03,G,999.9,1,1,0,0,0,0
725060,14756,2016,07,11,63.1,24,58.4,24,1016.8,15,1014.7,24,9.9,24,4.9,23,7.0,999.9,70.0,,55.0,,0.01,G,999.9,0,0,0,0,0,0
725060,14756,2016,02,10,33.5,24,28.0,24,1002.2,17,1000.5,24,9.1,24,4.2,24,8.9,999.9,37.9,,28.0,,0.0,G,999.9,0,1,1,0,0,0
725060,14756,2016,09,30,60.1,24,54.5,24,1028.7,18,1026.5,24,7.8,24,15.6,24,20.0,28.9,63.0,,57.9,,0.01,G,999.9,0,1,0,0,0,0
725060,14756,2016,10,03,60.5,24,56.1,24,1016.2,18,1014.8,24,9.9,24,4.4,24,9.9,999.9,66.0,,57.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,03,11,46.8,24,42.9,24,1013.9,19,1012.8,24,7.6,24,10.1,24,18.1,22.9,62.1,,39.9,,0.15,G,999.9,1,1,0,0,0,0
725060,14756,2016,01,18,34.4,24,24.9,24,1002.2,20,1000.1,24,8.8,24,15.3,24,27.0,35.0,44.1,,26.1,,0.45,G,999.9,0,1,1,0,0,0
725060,14756,2016,06,30,68.9,24,63.6,24,1014.4,20,1012.4,24,5.9,24,6.4,24,9.9,999.9,77.0,,63.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2016,09,28,63.1,24,60.7,24,1018.8,12,1016.7,24,5.7,24,11.3,24,21.0,27.0,66.2,*,60.1,*,1.0,G,999.9,0,1,0,0,0,0
725060,14756,2016,12,17,36.2,24,31.3,24,1023.4,14,1020.3,24,5.9,24,11.5,24,24.1,32.1,52.0,,12.0,,0.05,G,999.9,0,1,1,0,0,0
725060,14756,2016,05,02,51.3,24,48.0,24,1015.7,15,1013.5,24,4.9,24,10.6,24,15.9,999.9,55.9,,37.0,,0.22,G,999.9,1,1,0,0,0,0
725060,14756,2016,09,21,70.0,24,64.4,24,1020.2,16,1018.4,24,5.3,24,6.4,24,12.0,999.9,77.0,,62.1,,0.07,G,999.9,1,0,0,0,0,0
725060,14756,2016,11,07,47.4,24,36.7,24,1026.2,21,1024.8,24,9.6,24,18.8,24,25.1,31.1,54.0,,43.0,,0.35,G,999.9,0,1,0,0,0,0
725060,14756,2016,09,23,66.3,24,62.1,24,1016.5,22,1014.9,24,9.5,24,5.8,24,12.0,999.9,79.0,,55.9,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2016,01,13,32.9,24,18.2,24,1005.8,23,1004.0,24,9.6,24,18.0,24,32.1,42.0,43.0,,19.9,,0.13,G,999.9,0,1,1,0,0,0
725060,14756,2016,10,23,53.7,24,35.4,24,1003.0,24,1001.4,24,10.0,24,21.3,24,29.9,45.1,64.0,,50.0,,0.01,G,999.9,0,1,0,0,0,0
725060,14756,2016,10,30,61.1,24,52.4,24,1010.9,24,1009.3,24,9.3,24,11.0,24,15.9,22.9,69.1,,46.9,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2016,12,11,29.9,24,13.3,24,1031.6,24,1030.0,24,10.0,24,7.5,24,12.0,15.9,36.0,,24.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,06,27,64.3,24,58.3,24,1020.6,24,1018.9,24,10.0,24,9.3,24,14.0,999.9,71.1,,50.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,05,26,65.7,24,53.9,24,1018.1,24,1016.5,24,9.7,24,7.7,24,15.0,21.0,78.1,,54.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,12,13,39.7,24,26.9,24,1017.1,24,1015.5,24,9.8,24,9.7,24,18.1,24.1,53.1,,35.1,,0.83,G,999.9,0,0,0,0,0,0
725060,14756,2016,12,26,36.4,24,25.6,24,1038.3,23,1036.5,24,10.0,24,10.2,24,15.0,999.9,46.0,,28.9,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,09,26,55.2,24,41.1,24,1021.6,24,1020.0,24,10.0,24,5.3,23,8.9,999.9,64.9,,44.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,06,19,59.9,24,51.5,24,1027.6,24,1025.9,24,10.0,24,9.8,24,14.0,999.9,73.0,,53.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,10,27,46.5,24,36.4,24,1029.3,24,1027.7,24,9.8,24,8.2,24,15.0,22.0,52.0,,39.9,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2016,11,21,38.8,24,23.3,24,998.3,24,996.3,24,10.0,24,21.2,24,27.0,39.0,51.1,,37.0,,0.07,G,999.9,0,0,1,0,0,0
725060,14756,2016,03,31,51.0,24,44.6,24,1019.5,24,1017.9,24,8.7,24,13.1,24,17.1,999.9,59.0,,37.9,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,09,03,63.2,24,57.5,24,1022.0,24,1020.4,24,10.0,24,5.7,24,9.9,999.9,75.0,,55.9,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,11,12,42.1,24,25.4,24,1019.6,24,1017.9,24,10.0,24,13.9,24,22.0,29.9,46.0,*,39.0,*,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2016,04,25,48.4,24,36.3,24,1017.1,24,1015.4,24,10.0,24,9.2,24,14.0,999.9,55.0,,37.0,,0.0,G,999.9,0,0,0,0,0,0
