stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,94728,2012,01,31,44.7,6,28.9,6,1020.9,6,1018.0,6,9.4,6,8.3,6,11.1,15.0,55.9,*,32.0,*,0.0,G,999.9,0,0,0,0,0,0
725060,94728,2012,01,21,25.9,24,17.0,24,1021.3,11,1015.5,13,5.7,24,7.2,24,16.9,21.0,33.1,*,23.0,*,0.11,G,999.9,1,1,1,0,0,0
725060,94728,2012,10,04,68.6,24,66.2,24,1019.0,11,1014.2,16,2.9,24,2.2,23,13.0,999.9,73.4,*,62.6,*,0.01,G,999.9,1,1,0,0,0,0
725060,94728,2012,02,08,35.5,24,18.7,24,1023.4,16,1018.4,16,9.9,24,4.3,24,14.0,999.9,43.0,,30.9,,0.0,G,999.9,0,0,0,0,0,0
725060,94728,2012,08,16,74.0,24,64.3,24,1011.9,15,1007.1,18,6.7,24,3.1,24,13.0,15.0,84.9,,66.0,,0.15,G,999.9,1,1,0,0,0,0
725060,94728,2012,08,18,69.8,24,63.7,24,1011.3,15,1006.8,18,8.4,24,4.1,24,9.9,999.9,78.1,*,62.6,*,0.01,G,999.9,0,1,0,0,0,0
725060,94728,2012,08,12,77.8,24,65.4,23,1012.5,16,1007.8,18,8.7,24,5.7,24,22.0,29.9,84.9,*,69.8,*,0.62,G,999.9,0,1,0,0,0,0
725060,94728,2012,10,06,66.1,24,57.9,24,1010.5,18,1005.7,18,7.0,24,5.2,24,15.0,21.0,75.0,*,57.0,*,0.01,G,999.9,1,0,0,0,0,0
725060,94728,2012,12,17,42.0,24,40.4,24,1011.3,17,1006.4,19,5.6,24,9.5,24,20.0,28.0,50.0,,39.0,,0.44,G,999.9,0,1,0,0,0,0
725060,94728,2012,09,08,75.3,24,69.6,24,1007.5,15,1003.2,20,8.8,24,5.8,22,15.9,28.9,81.0,*,69.1,*,0.0,G,999.9,1,1,0,0,0,0
725060,94728,2012,02,12,29.2,20,12.2,20,1007.7,18,1002.7,20,9.2,20,10.5,20,23.9,25.1,37.0,,21.0,,0.08,G,999.9,0,0,1,0,0,0
725060,94728,2012,10,30,53.9,24,48.9,24,989.0,13,985.6,21,8.1,24,8.9,21,22.0,46.0,64.4,*,50.0,*,1.97,G,999.9,0,1,0,0,0,0
725060,94728,2012,12,25,37.5,24,32.5,24,1016.2,14,1011.3,21,6.8,24,4.8,24,15.0,25.1,46.4,*,30.2,*,0.01,G,999.9,0,1,1,0,0,0
725060,94728,2012,11,19,43.0,24,34.8,24,1032.3,18,1026.8,21,10.0,24,6.3,24,16.9,22.9,53.6,*,37.9,*,0.0,G,999.9,0,0,0,0,0,0
725060,94728,2012,01,22,24.4,24,16.7,24,1030.2,20,1025.3,21,10.0,24,7.2,24,18.1,999.9,35.1,*,18.0,*,0.28,G,1.2,0,0,0,0,0,0
725060,94728,2012,10,08,49.9,24,42.9,24,1022.9,20,1017.7,21,9.0,24,3.5,24,15.9,23.9,55.9,*,44.1,*,0.2,G,999.9,0,1,0,0,0,0
725060,94728,2012,02,27,43.2,21,24.8,21,1027.2,21,1022.1,21,10.0,21,2.3,21,9.9,999.9,55.9,*,27.0,*,0.0,G,999.9,0,0,0,0,0,0
