stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14756,2019,10,12,56.2,15,54.1,15,1011.6,14,9.9,15,6.7,15,19.9,15,28.0,36.9,61.0,*,55.0,*,0.12,G,999.9,0,1,0,0,0,0
725060,14756,2019,06,17,66.0,16,60.9,16,1014.3,14,12.7,16,8.1,16,6.3,16,12.0,999.9,72.0,,59.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,06,06,62.0,17,59.9,17,1007.5,7,5.4,17,5.2,17,12.5,17,18.1,24.1,68.0,,59.0,,0.61,G,999.9,1,1,0,0,0,0
725060,14756,2019,06,18,60.4,19,58.8,19,1015.1,13,13.4,19,5.7,19,5.2,19,8.9,999.9,64.0,*,55.9,*,0.02,G,999.9,1,1,0,0,0,0
725060,14756,2019,10,13,57.6,22,53.3,22,1016.5,17,14.7,22,9.6,22,6.0,22,13.0,999.9,64.9,,50.0,,0.02,G,999.9,0,1,0,0,0,0
725060,14756,2019,02,05,43.0,24,42.1,24,1014.2,12,12.8,24,3.0,24,4.8,24,9.9,999.9,50.0,,34.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,07,11,66.8,24,65.7,24,1015.9,14,14.5,24,2.2,24,5.8,24,11.1,999.9,84.9,,64.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,07,06,68.9,24,67.6,24,1013.9,12,13.6,24,1.5,24,7.5,24,12.0,999.9,73.9,,59.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,10,28,56.0,24,52.3,24,1016.4,14,15.0,22,8.3,24,17.1,24,25.1,36.9,64.4,*,53.1,*,1.67,G,999.9,1,1,0,0,0,0
725060,14756,2019,06,27,61.4,24,60.1,24,1019.2,10,17.5,24,5.6,24,4.2,24,8.9,999.9,73.9,,57.0,,0.13,G,999.9,1,0,0,0,0,0
725060,14756,2019,08,18,71.2,24,69.7,24,1016.4,11,14.8,13,4.2,24,4.0,24,9.9,999.9,79.0,,62.1,,0.0,I,999.9,1,0,0,0,0,0
725060,14756,2019,04,20,54.5,24,52.8,24,1013.8,11,12.2,24,2.9,24,17.7,24,22.0,31.1,61.0,,48.9,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,10,31,62.5,24,60.2,24,1017.7,13,16.2,24,5.4,24,13.1,24,18.1,24.1,64.9,,53.1,,0.7,G,999.9,0,1,0,0,0,0
725060,14756,2019,05,31,58.2,24,56.1,24,1006.5,13,4.7,24,4.7,24,8.4,24,15.0,17.1,72.0,,48.9,,0.48,G,999.9,1,1,0,0,0,0
725060,14756,2019,05,30,51.3,24,48.8,24,1009.2,16,7.5,24,8.5,24,6.4,24,13.0,999.9,57.2,*,48.2,*,0.42,G,999.9,1,1,0,0,0,0
725060,14756,2019,10,03,55.3,24,47.3,24,1019.7,17,17.0,24,10.0,24,12.5,24,18.1,24.1,61.0,*,53.1,*,0.09,G,999.9,0,0,0,0,0,0
725060,14756,2019,04,26,46.8,24,44.2,24,1011.9,18,9.2,24,7.0,24,13.9,24,24.1,31.1,55.0,,39.9,,0.0,G,999.9,1,1,0,0,1,0
725060,14756,2019,12,22,41.3,24,34.9,24,1026.8,18,25.5,24,9.6,24,9.1,24,15.0,999.9,46.9,,28.9,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2019,08,16,66.6,24,64.4,24,1017.6,18,16.0,20,7.8,24,7.0,24,11.1,999.9,73.9,,62.1,,0.0,I,999.9,1,0,0,0,0,0
725060,14756,2019,04,30,45.6,24,40.5,24,1024.6,19,22.7,24,8.3,23,7.6,24,13.0,999.9,54.0,,42.1,,0.31,G,999.9,0,1,0,0,0,0
725060,14756,2019,01,25,37.0,24,28.5,24,1010.5,19,5.7,24,8.9,24,14.0,24,26.0,35.0,52.0,,30.0,,0.28,G,999.9,0,0,0,0,0,0
725060,14756,2019,09,29,66.9,24,62.0,24,1021.4,20,19.4,24,8.7,24,11.4,24,20.0,26.0,72.0,,55.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2019,09,27,63.5,24,56.6,24,1017.6,20,14.4,24,8.8,24,7.7,24,15.9,21.0,72.0,,55.0,,0.27,G,999.9,0,1,0,0,0,0
725060,14756,2019,11,29,40.5,24,30.5,24,1015.6,20,13.8,24,10.0,16,20.1,24,28.9,44.1,55.0,,37.9,,0.09,G,999.9,0,0,0,0,0,0
725060,14756,2019,02,19,25.9,24,12.6,24,1028.5,20,25.4,24,10.0,24,15.1,24,24.1,29.9,37.0,,19.9,,0.11,G,999.9,0,0,0,0,0,0
725060,14756,2019,09,15,68.2,24,65.3,24,1020.4,20,18.8,24,8.8,24,8.2,24,12.0,999.9,75.0,,52.0,,0.02,G,999.9,0,1,0,0,0,0
725060,14756,2019,05,28,51.6,24,48.8,24,1013.9,20,12.1,24,8.1,24,8.8,24,19.0,26.0,69.1,,46.9,,0.0,G,999.9,1,1,0,0,0,0
725060,14756,2019,02,12,29.4,24,19.8,24,1028.5,20,26.4,24,8.2,24,11.2,24,18.1,24.1,35.1,,24.1,,0.0,G,999.9,1,1,1,0,0,0
725060,14756,2019,08,27,60.4,24,54.5,24,1019.4,21,17.8,24,10.0,24,4.7,24,8.9,999.9,70.0,,50.0,,0.0,I,999.9,0,0,0,0,0,0
725060,14756,2019,07,13,71.9,24,67.1,24,1010.7,22,8.9,24,8.1,24,7.5,24,14.0,999.9,80.1,,66.0,,0.28,G,999.9,1,1,0,0,0,0
725060,14756,2019,11,25,45.4,24,36.5,24,1004.1,22,1.1,24,10.0,15,12.8,24,24.1,33.0,57.9,,41.0,,0.4,G,999.9,0,1,0,0,0,0
725060,14756,2019,09,17,61.5,24,53.0,24,1018.2,22,16.7,24,10.0,24,9.2,24,15.9,20.0,70.0,,54.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2019,12,05,39.6,24,30.2,24,1002.0,22,999.6,24,10.0,17,8.4,24,15.9,24.1,46.0,,32.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2019,09,18,56.0,24,48.7,24,1022.6,23,21.0,24,9.9,24,11.3,24,21.0,27.0,68.0,,51.1,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2019,07,28,66.9,24,62.9,24,1020.3,23,18.7,23,9.6,24,7.3,24,15.0,999.9,75.9,,55.9,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2019,08,02,71.6,24,64.1,24,1019.8,16,17.8,24,7.4,24,4.7,24,8.9,999.9,82.9,,60.1,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,09,03,70.0,24,65.8,24,1016.3,17,14.3,24,8.9,24,6.8,24,13.0,999.9,75.0,,57.9,,99.99,,999.9,1,1,0,0,0,0
725060,14756,2019,08,17,67.5,24,65.3,24,1017.6,17,15.6,11,3.8,24,7.1,24,11.1,999.9,77.0,,62.1,,0.0,I,999.9,1,0,0,0,0,0
725060,14756,2019,04,19,53.7,24,50.7,24,1014.1,18,12.5,24,4.8,24,16.7,24,22.0,32.1,59.0,*,50.0,*,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2019,10,21,55.2,24,52.0,24,1016.7,19,14.9,24,9.5,15,13.5,24,20.0,28.0,60.1,,39.0,,0.2,G,999.9,0,1,0,0,0,0
