stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14756,2015,09,03,74.5,8,70.0,8,1011.5,7,1009.8,8,7.5,8,6.0,8,999.9,999.9,81.0,*,69.1,*,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,12,21,49.5,24,40.8,24,1025.2,13,1023.4,13,9.4,24,14.3,24,20.0,28.0,55.9,,34.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,12,25,56.1,24,52.9,24,1021.2,13,1019.5,15,4.0,24,4.4,24,13.0,999.9,66.0,,50.0,,0.37,G,999.9,1,0,0,0,0,0
725060,14756,2015,12,22,54.8,24,52.1,24,1018.3,13,1016.1,15,4.4,24,11.3,24,17.1,22.0,57.9,,45.0,,0.0,G,999.9,1,1,0,0,0,0
725060,14756,2015,09,08,76.4,15,69.6,15,1015.8,15,1014.1,15,9.1,15,13.5,15,17.1,22.9,81.0,*,70.0,*,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,09,04,70.6,18,65.2,18,1019.1,12,1016.2,15,6.8,17,12.0,17,21.0,26.0,75.0,*,64.0,*,0.0,I,999.9,1,0,0,0,0,0
725060,14756,2015,12,02,53.6,21,51.9,21,1012.2,17,1010.3,21,2.3,21,9.1,21,18.1,26.0,57.0,*,48.9,*,0.65,G,999.9,1,1,0,0,0,0
725060,14756,2015,04,10,43.9,24,41.7,24,1015.2,12,1015.3,24,3.6,24,9.4,24,21.0,27.0,53.1,,37.0,,0.01,G,999.9,1,1,0,0,1,0
725060,14756,2015,05,09,54.3,24,50.9,24,1026.1,12,1024.7,24,4.4,24,6.4,24,11.1,999.9,64.9,,46.9,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2015,07,31,76.7,24,68.5,24,1009.5,20,1007.8,24,8.5,24,8.5,24,12.0,17.1,87.1,,71.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,02,10,36.4,24,32.9,24,1013.9,20,1012.2,24,7.4,24,21.1,24,27.0,34.0,37.9,,35.1,,0.07,G,999.9,0,1,1,0,0,0
725060,14756,2015,05,30,63.3,24,59.9,24,1023.5,11,1022.0,24,4.2,24,8.5,24,15.0,999.9,75.9,,57.9,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2015,06,09,64.0,24,59.9,24,1010.5,17,1008.1,24,7.9,24,14.2,24,17.1,25.1,70.0,,53.1,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2015,02,26,28.0,24,19.6,24,1014.9,18,1012.8,24,7.5,24,12.0,24,25.1,31.1,33.1,,25.0,,0.0,H,999.9,1,0,1,0,0,0
725060,14756,2015,10,13,64.4,24,61.2,24,1003.5,15,1002.3,24,6.5,24,8.3,23,12.0,999.9,73.9,,50.0,,0.18,G,999.9,1,1,0,0,0,0
725060,14756,2015,12,11,52.2,24,50.0,24,1014.0,15,1012.7,24,6.1,24,5.8,24,11.1,999.9,57.9,,46.0,,0.0,I,999.9,1,0,0,0,0,0
725060,14756,2015,06,01,55.9,24,52.8,24,1021.5,17,1019.9,24,4.9,24,12.7,24,19.0,999.9,71.1,,53.1,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2015,01,07,22.6,24,10.2,24,1011.8,18,1010.6,24,9.4,24,12.1,24,26.0,35.9,27.0,,17.1,,0.0,G,999.9,0,0,1,0,0,0
725060,14756,2015,02,13,21.8,24,11.0,24,1010.9,21,1007.9,24,8.1,24,16.2,24,24.1,33.0,35.1,,14.0,,0.04,G,999.9,0,0,1,0,0,0
725060,14756,2015,03,01,23.1,24,14.2,24,1037.5,23,1035.4,24,9.1,24,5.1,24,8.9,999.9,30.9,,10.0,,0.0,G,999.9,0,0,1,0,0,0
725060,14756,2015,07,11,71.8,24,62.1,24,1015.9,24,1014.3,24,10.0,24,8.4,24,14.0,999.9,81.0,,60.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,10,27,46.7,24,36.2,24,1034.1,24,1032.5,24,10.0,24,5.9,24,8.9,999.9,57.0,,36.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2015,06,16,64.2,24,61.9,24,1012.8,18,1010.9,24,3.6,24,7.1,24,19.0,25.1,73.0,,55.9,,0.47,G,999.9,1,1,0,0,0,0
725060,14756,2015,10,05,58.6,24,52.1,24,1020.4,19,1019.0,24,10.0,24,17.1,24,20.0,28.9,64.0,,53.1,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2015,05,01,43.8,24,37.2,24,1014.2,20,1012.5,24,9.6,24,13.3,24,19.0,22.9,57.0,,39.0,,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2015,08,09,67.0,24,62.1,24,1014.6,21,1012.8,24,9.2,24,13.1,24,18.1,26.0,77.0,,64.0,,0.0,G,999.9,0,1,0,0,0,0
