stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14756,2013,02,10,24.7,19,14.7,19,1024.4,16,1021.5,19,8.9,19,16.4,19,25.1,36.9,34.0,,21.0,,0.06,G,999.9,0,0,1,0,0,0
725060,14756,2013,07,12,69.4,24,67.8,24,1015.9,15,1013.9,24,3.1,24,6.7,24,15.0,49.9,72.0,,66.0,,0.06,G,999.9,1,0,0,0,0,0
725060,14756,2013,09,26,56.8,24,46.4,24,1015.6,21,1014.1,24,10.0,24,8.0,24,17.1,20.0,64.0,,44.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,03,21,38.3,24,29.9,24,1006.7,21,1004.7,24,9.8,24,10.9,24,21.0,27.0,45.0,,28.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,06,01,60.9,24,57.0,24,1016.7,22,1015.0,24,7.0,24,10.9,24,15.0,999.9,66.0,,57.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,01,20,46.3,24,41.2,24,1010.0,23,1008.5,24,7.0,24,14.9,24,20.0,26.0,50.0,,43.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,12,20,42.5,24,37.5,24,1019.0,23,1017.4,24,8.3,24,7.4,24,12.0,999.9,52.0,,32.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,10,02,64.8,24,58.1,24,1012.1,23,1010.5,24,9.3,24,8.7,24,17.1,19.0,73.9,,53.1,,0.01,G,999.9,1,0,0,0,0,0
725060,14756,2013,08,15,67.2,24,52.7,24,1016.9,24,1015.3,24,10.0,24,10.2,24,15.0,21.0,73.0,,62.1,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,08,08,67.8,24,64.0,24,1020.1,24,1018.4,24,10.0,24,6.7,24,9.9,999.9,75.0,,54.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2013,01,24,14.3,24,-1.9,24,1018.7,24,1017.1,24,10.0,24,15.5,24,22.9,29.9,19.9,,10.0,,0.0,G,999.9,0,0,0,0,0,0
