stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,14756,2018,11,20,48.2,24,46.3,24,1012.0,11,1009.5,24,9.2,24,7.0,24,19.0,25.1,52.0,*,43.0,*,0.0,G,999.9,0,1,0,0,0,0
725060,14756,2018,06,22,61.1,24,56.4,24,1016.4,10,1013.4,24,5.5,24,7.2,24,13.0,999.9,69.1,,55.9,,0.11,G,999.9,1,0,0,0,0,0
725060,14756,2018,03,02,45.3,24,45.2,24,989.8,12,989.5,24,5.1,24,23.3,24,49.0,65.1,48.9,*,39.0,*,0.35,G,999.9,0,1,0,0,0,0
725060,14756,2018,04,28,49.5,24,48.3,24,1010.7,12,1008.2,24,5.1,24,6.3,24,9.9,999.9,60.1,,39.9,,0.13,G,999.9,1,1,0,0,0,0
725060,14756,2018,06,23,59.2,24,57.0,24,1015.5,12,1012.3,24,5.7,24,9.2,24,14.0,20.0,69.1,,55.9,,0.16,G,999.9,1,1,0,0,1,0
725060,14756,2018,02,16,44.8,24,44.6,24,1003.8,9,1001.7,24,2.9,24,8.8,24,18.1,26.0,52.0,,37.9,,0.14,G,999.9,1,1,0,0,0,0
725060,14756,2018,07,27,70.6,24,70.1,24,1015.8,10,1014.5,24,2.1,24,7.8,24,13.0,999.9,75.9,,68.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2018,08,13,69.1,24,68.1,24,1016.9,12,1015.7,24,7.7,24,6.2,24,9.9,999.9,75.9,,64.9,,0.05,G,999.9,1,0,0,0,0,0
725060,14756,2018,08,20,66.7,24,66.0,24,1018.3,11,1016.7,24,4.7,24,11.6,24,15.9,22.0,72.0,,66.0,,0.04,G,999.9,0,1,0,0,0,0
725060,14756,2018,11,16,42.8,24,39.1,24,1005.0,4,1005.1,24,5.5,24,19.0,24,31.1,42.9,53.1,*,35.1,*,1.16,G,999.9,0,1,0,0,0,0
725060,14756,2018,07,17,70.5,24,69.0,24,1012.9,7,1011.6,24,4.6,24,10.7,24,17.1,22.0,75.9,,66.0,,0.0,G,999.9,1,0,0,0,0,0
725060,14756,2018,07,22,66.5,24,66.2,24,1019.1,7,1017.5,24,3.2,24,12.8,24,18.1,20.0,72.0,,52.0,,0.0,G,999.9,1,1,0,0,0,0
725060,14756,2018,08,02,73.7,24,72.5,24,1019.9,13,1018.2,24,5.4,24,11.6,24,15.9,21.0,78.1,,64.0,,0.0,G,999.9,0,0,0,0,0,0
725060,14756,2018,07,05,71.7,24,71.0,24,1025.4,13,1024.3,24,1.6,24,6.2,24,11.1,999.9,81.0,,66.9,,0.0,G,999.9,1,0,0,0,0,0
